term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024022107,701110000330000,行政院函，為中華民國112年12月15日制定公布之「道路交通安全基本法」，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00057.pdf,all
11,01,2024022107,701110000340000,行政院函，為中華民國112年12月15日修正公布之「法務部調查局組織法」第五條條文，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00060.pdf,all
11,01,2024022107,701110000350000,行政院函，為中華民國112年12月27日制定公布之「最低工資法」，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00059.pdf,all
11,01,2024022107,701110000370000,國防部函，為該部所屬112年度油料採購經費需求申請動支第一預備金計新臺幣4億8465萬8000元，業經行政院主計總處同意備案，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00041.pdf,all
11,01,2024022107,701110000380000,行政院函，為文化部辦理衛武營藝術文化中心興建計畫，動支112年度中央政府總預算第二預備金2億5365萬元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00043.pdf,all
11,01,2024022107,701110000390000,行政院函，為外交部復設駐象牙海岸代表處及新設駐米蘭、駐蒙特婁與駐孟買辦事處所需經費，動支112年度中央政府總預算第二預備金5806萬3000元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00047.pdf,all
11,01,2024022107,701110000400000,行政院函，為外交部領事事務局因應疫情後護照申請量激增，加速辦理護照申辦流程所需經費不敷，前動支112年度中央政府總預算第二預備金9億2450萬1000元支應一案，茲檢送第二預備金動支數額機關別修正表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00048.pdf,all
11,01,2024022107,701110000410000,行政院函，為農業部補助農業發展基金辦理產銷調節計畫農糧業務所需經費不敷，動支112年度中央政府總預算第二預備金5億6801萬元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00045.pdf,all
11,01,2024022107,701110000420000,行政院函，為農業部補助農業發展基金辦理穩定肥料及相關資材供需計畫所需經費不敷，動支112年度中央政府總預算第二預備金9億元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00046.pdf,all
11,01,2024022107,701110000560000,行政院函，為內政部辦理中州科技大學規劃為全民防衛訓練場地暨警政署保安警察第二總隊機動中隊使用價購款及耐震詳評實施計畫經費不敷，動支112年度中央政府總預算第二預備金1億2700萬4000元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00049.pdf,all
11,01,2024022107,701110002330000,司法院函，為中華民國112年12月15日修正公布之「勞動事件法」部分條文，定自113年1月8日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00061.pdf,all
11,01,2024022107,701110002490000,行政院函，為都市更新條例第六十七條第一項第三款及第八款規定之租稅減免優惠，其實施年限定自113年2月1日起至118年1月31日止，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00052.pdf,all
11,01,2024022730,201110006760000,行政院函請審議「全國性公民投票不在籍投票法草案」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00095.pdf,all
11,01,2024022730,201110006770000,行政院函請審議「陸海空軍懲罰法修正草案」及「軍人權益事件處理法草案」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00096.pdf,all
11,01,2024022730,201110006780000,行政院函請審議廢止「內政部營建署組織條例」、「內政部消防署組織條例」、「內政部役政署組織法」及「內政部消防署港務消防隊組織通則」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00097.pdf,all
11,01,2024022730,201110006790000,行政院函請審議廢止「行政院原住民族委員會文化園區管理局組織條例」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00098.pdf,all
11,01,2024022730,201110006800000,行政院函請審議廢止「行政院大陸委員會組織條例」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00099.pdf,all
11,01,2024022730,201110008120000,行政院函請審議廢止「經濟部工業局組織條例」、「經濟部國際貿易局組織條例」、「經濟部國際貿易局所屬各辦事處組織通則」、「經濟部能源局組織條例」、「經濟部中小企業處組織條例」、「經濟部水利署組織條例」、「經濟部水利署臺北水源特定區管理局組織條例」、「經濟部水利署各區水資源局組織通則」、「經濟部水利署各河川局組織通則」、「經濟部水利署水利規劃試驗所組織條例」、「經濟部加工出口區管理處組織條例」、「經濟部加工出口區管理處所屬各分處組織通則」、「經濟部智慧財產局組織條例」、「經濟部標準檢驗局組織條例」、「經濟部標準檢驗局所屬各分局組織通則」及「經濟部中央地質調查所組織條例」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00100.pdf,all
11,01,2024022730,201110008130000,行政院函請審議廢止「行政院農業委員會組織條例」、「行政院農業委員會農糧署組織條例」、「行政院農業委員會農糧署各分署組織通則」、「行政院農業委員會漁業署組織條例」、「行政院農業委員會動植物防疫檢疫局組織條例」、「行政院農業委員會動植物防疫檢疫局所屬各分局組織通則」、「行政院農業委員會水土保持局組織法」及「行政院農業委員會農業金融局組織條例」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/03/LCEWA01_110103_00101.pdf,all
